City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
356,Maxixe,MZ,75.02,few clouds,-23.8597,35.3472,Oceano
357,Catumbela,AO,73.63,broken clouds,-12.4314,13.5472,Hotel Do Kamgamba
358,Champerico,GT,86.54,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
361,Kulevcha,UA,70.74,overcast clouds,46.0303,29.9361,Гостевой дом «Болгарский двор»
363,Marzuq,YE,77.32,clear sky,14.4,46.4667,حيد القفلة
364,Vinh,VN,76.15,very heavy rain,18.6667,105.6667,Vuong Hoan 2
369,Laguna,US,81.09,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
370,Wajir,KE,87.76,clear sky,1.7471,40.0573,Mahatallah Hotel
377,Dingle,PH,76.42,light rain,10.9995,122.6711,SEGAYA PROPERTY
378,Mkushi,ZM,75.83,clear sky,-13.6202,29.3939,Mkushi Police Club
382,Russell,US,76.28,clear sky,32.3502,-85.1999,Macs
383,Lindsay,US,85.01,clear sky,36.203,-119.0882,Lindsay Inn
385,Ugoofaaru,MV,82.08,overcast clouds,5.6667,73.0,Ungoofaaru Inn
389,Labuan,MY,80.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
390,Warri,NG,77.77,overcast clouds,5.5167,5.75,GT Guesthouse
394,San Vicente,AR,73.98,broken clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
395,Quelimane,MZ,76.95,clear sky,-17.8786,36.8883,Hotel Flamingo
396,Matara,LK,78.1,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
397,Junagadh,IN,76.66,clear sky,21.5167,70.4667,"Click Hotel, Junagadh"
399,Ahuimanu,US,75.16,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
400,Kutum,SD,87.96,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
401,Ambilobe,MG,71.02,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
405,Kiunga,PG,73.0,moderate rain,-6.1219,141.2906,Airport Lodge Kiunga
408,Cabo San Lucas,MX,89.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
409,Bonito,BR,79.41,broken clouds,-21.1211,-56.4819,Marruá Hotel
415,Isangel,VU,75.38,scattered clouds,-19.55,169.2667,Tanna Lodge
416,Santiago,CL,80.55,clear sky,-33.4569,-70.6483,Hotel Panamericano
417,Bathsheba,BB,84.69,overcast clouds,13.2167,-59.5167,Atlantis Hotel
419,Bandarbeyla,SO,78.44,scattered clouds,9.4942,50.8122,JABIR HOTEL
421,Bayir,TR,72.12,few clouds,37.2687,28.2167,Hotel Babadag
423,Bandundu,CD,81.27,broken clouds,-3.3167,17.3667,Coja Color
426,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
430,Kismayo,SO,76.55,clear sky,-0.3582,42.5454,Agan-Hotel
434,Lazaro Cardenas,MX,84.2,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
439,Behbahan,IR,87.04,clear sky,30.5959,50.2417,فروشگاه ابوعلی
441,Asilah,MA,76.96,scattered clouds,35.465,-6.0348,Hotel Zelis
442,Tual,ID,82.22,broken clouds,-5.6667,132.75,Grand Vilia Hotel
444,Vila Do Maio,CV,86.79,overcast clouds,15.1333,-23.2167,Hotel Marilu
448,Koster,ZA,70.9,clear sky,-25.863,26.8976,Klub Kranskuil
452,Djambala,CG,74.28,light rain,-2.5447,14.7533,Hotel Ravin D'or
453,La Romana,DO,84.56,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
454,Roebourne,AU,72.54,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
455,Gunjur,GM,89.67,broken clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
458,Kindu,CD,76.44,scattered clouds,-2.95,25.95,Résidence Okanda
461,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
464,Kissidougou,GN,79.25,light rain,9.1848,-10.0999,Hôtel Mantis
465,Manado,ID,77.77,few clouds,1.487,124.8455,Aryaduta Hotel
466,Katherine,AU,75.52,overcast clouds,-14.4667,132.2667,Pine Tree Motel
474,Cabedelo,BR,84.87,few clouds,-6.9811,-34.8339,Pousada Camboinha
475,Cap Malheureux,MU,70.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
479,Muisne,EC,78.03,overcast clouds,0.6,-80.0333,Quinta Samay
481,Parana,AR,79.56,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
482,Augusto Correa,BR,88.34,broken clouds,-1.0217,-46.635,Fazenda Bacuri
484,Praia Da Vitoria,PT,75.76,few clouds,38.7333,-27.0667,Hotel Branco I
485,Santa Cruz De La Palma,ES,75.34,broken clouds,28.6835,-17.7642,H10 Taburiente Playa
489,Healdsburg,US,83.91,mist,38.6105,-122.8692,Best Western Dry Creek Inn
490,Cam Ranh,VN,76.96,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
492,Vermillion,US,72.81,broken clouds,42.7794,-96.9292,"Holiday Inn Express & Suites Vermillion, an IHG Hotel"
494,Kavieng,PG,80.83,light rain,-2.5744,150.7967,Nusa Island Retreat
500,Makokou,GA,73.04,light rain,0.5738,12.8642,Hôtel Arizona
503,Fare,PF,77.11,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
505,Tazmalt,DZ,73.38,clear sky,36.3868,4.3989,Hôtel Numédia
506,Padre Paraiso,BR,86.22,few clouds,-17.0742,-41.4844,Pousada Três Irmãos
508,Acajutla,SV,84.22,overcast clouds,13.5928,-89.8275,CASA DE LA PERRA
509,Ovalle,CL,74.17,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
514,Buchanan,LR,77.72,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
515,Port Hedland,AU,73.45,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
516,Juba,SS,79.34,scattered clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
517,Abu Dhabi,AE,89.71,clear sky,24.4667,54.3667,Beach Rotana
519,Boyolangu,ID,75.54,overcast clouds,-8.1181,111.8935,Yos ega cv
521,Carlsbad,US,70.61,overcast clouds,33.1581,-117.3506,Carlsbad Inn Beach Resort
522,Namatanai,PG,78.48,light rain,-3.6667,152.4333,Seagulls Inn Namatani
523,Quatre Cocos,MU,70.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
531,Kirakira,SB,78.15,few clouds,-10.4544,161.9205,SanBiz Lodge
532,Belmonte,BR,77.56,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
538,Gouyave,GD,86.77,few clouds,12.1646,-61.7296,Rumboat Retreat
540,Axim,GH,77.77,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
542,Praia,CV,86.54,broken clouds,14.9215,-23.5087,LT Aparthotel
543,Basag,PH,73.71,broken clouds,8.9247,125.6178,Gents Dormitory
545,Labuhan,ID,79.68,overcast clouds,-6.8844,112.2051,DoubleFAG
546,Puerto Colombia,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
547,Nador,MA,75.27,few clouds,35.174,-2.9287,Hôtel La Giralda
548,Vila Vicosa,PT,78.67,scattered clouds,38.7777,-7.4179,Pousada Convento Vila Viçosa
551,Porto Murtinho,BR,83.1,scattered clouds,-21.6989,-57.8825,Hotel Pantanal
557,Weligama,LK,78.6,overcast clouds,5.9667,80.4167,Weligama Bay Resort
565,San-Pedro,CI,76.3,light rain,4.7485,-6.6363,Hotel Maria
566,Cockburn Town,TC,82.83,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
567,San Juan,AR,77.67,clear sky,-31.5375,-68.5364,Hotel Provincial
570,Malanje,AO,72.34,broken clouds,-9.5402,16.341,Hotel Ginga
574,Majene,ID,78.12,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
581,Millbrook,US,78.21,clear sky,32.4799,-86.3619,Courtyard by Marriott Montgomery Prattville
586,Santa Maria,BR,70.9,broken clouds,-29.6842,-53.8069,Hotel Morotin
587,Ziyang,CN,78.84,scattered clouds,29.2497,117.8547,Wuyuan Great Wall Hotel
588,Kailua,US,75.43,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
589,San Patricio,US,84.16,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
590,Alta Gracia,AR,81.55,clear sky,-31.6529,-64.4283,Hotel Ritz
596,Bassila,BJ,73.45,moderate rain,9.0081,1.6654,COMPLEXE MAKOYA ET FILS
599,Kimbe,PG,75.15,clear sky,-5.5502,150.1429,Kimbe Bay Hotel
602,Portobelo,PA,80.96,overcast clouds,9.55,-79.65,Scuba Portobelo
604,Nuevitas,CU,82.44,broken clouds,21.5453,-77.2644,Hotel Caonaba
608,Akyab,MM,80.11,moderate rain,20.15,92.9,ဟိုတယ် မန်မိုရီ
609,Jiwani,PK,80.92,clear sky,25.05,61.7417,Hooth Market
612,Turgutlu,TR,85.75,few clouds,38.4953,27.6997,Palmcity Hotel Turgutlu
613,Salamiyah,SY,81.36,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
616,Sumter,US,81.81,clear sky,28.7086,-82.0831,Paradise Oaks RV Resort
617,Vila Franca Do Campo,PT,73.81,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
618,Highland,US,88.09,haze,34.1283,-117.2086,Yaamava' Resort & Casino
620,Pathein,MM,74.89,moderate rain,16.7833,94.7333,Pathein Hotel
625,Presidente Prudente,BR,81.95,scattered clouds,-22.1256,-51.3889,Hotel Nações
628,Jaisalmer,IN,88.36,clear sky,26.9147,70.9181,Hotel Fifu
630,Remanso,BR,90.0,clear sky,-9.6179,-42.0831,Hotel Mangueira
631,Mingguang,CN,82.53,broken clouds,32.7802,117.9638,Yonghao Hotel
633,Gonbad-E Qabus,IR,76.15,light rain,37.25,55.1672,گلکده گلشن
635,Romanovskaya,RU,70.99,overcast clouds,47.5426,42.0285,Donskaya Volna
637,Chalus,IR,72.86,scattered clouds,36.655,51.4204,Rama Spa
640,Nabire,ID,75.76,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
643,Senanga,ZM,82.76,clear sky,-16.1167,23.2667,Zango lodge
647,Wamba,NG,78.44,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
653,Mount Pleasant,US,75.09,broken clouds,32.7941,-79.8626,Best Western Patriots Point
654,Salalah,OM,80.69,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
655,Aquiraz,BR,87.89,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
656,Road Town,VG,86.04,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
661,Uribia,CO,89.69,overcast clouds,11.7139,-72.266,Hotel Uribia
663,Kearney,US,74.57,clear sky,40.6995,-99.0815,"Holiday Inn Kearney, an IHG Hotel"
665,Astoria,US,70.86,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
667,Tautira,PF,76.24,broken clouds,-17.7333,-149.15,Pension Oaoa
668,Saint Joseph,US,71.44,few clouds,39.7686,-94.8466,Whiskey Mansion Inn
