City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,Nova Olimpia,-14.7972,-57.2881,74.75,88,100,0.63,BR,2022-09-28 03:27:38
242,Santa Maria,-29.6842,-53.8069,60.1,77,0,4.61,BR,2022-09-28 03:27:39
243,Caravelas,-17.7125,-39.2481,73.38,87,0,8.21,BR,2022-09-28 03:27:39
244,Mount Isa,-20.7333,139.5,67.77,94,75,8.05,AU,2022-09-28 03:27:39
245,Sitka,57.0531,-135.33,53.49,94,100,0.0,US,2022-09-28 03:27:40
246,Saldanha,-33.0117,17.9442,42.85,86,70,9.48,ZA,2022-09-28 03:27:40
247,Helong,42.5397,128.9972,79.0,27,0,8.23,CN,2022-09-28 03:27:40
248,Tasiilaq,65.6145,-37.6368,35.76,98,100,4.0,GL,2022-09-28 03:27:40
249,Jinchang,38.4953,102.1739,70.97,22,0,3.47,CN,2022-09-28 03:27:41
250,Meoqui,28.2833,-105.4833,74.03,45,96,3.58,MX,2022-09-28 03:27:41
251,Karratha,-20.7377,116.8463,85.17,24,6,13.04,AU,2022-09-28 03:27:41
252,Chokurdakh,70.6333,147.9167,29.07,59,50,9.46,RU,2022-09-28 03:27:42
253,Whyalla,-33.0333,137.5833,59.09,56,68,17.16,AU,2022-09-28 03:27:42
254,Sabla,12.7525,4.7077,75.56,85,100,8.93,NG,2022-09-28 03:27:42
255,Lucea,18.451,-78.1736,80.85,85,100,6.06,JM,2022-09-28 03:27:43
256,Vardo,70.3705,31.1107,44.58,87,100,5.75,NO,2022-09-28 03:27:43
257,Windsor,42.3001,-83.0165,54.21,88,100,2.3,CA,2022-09-28 03:24:45
258,High Level,58.5169,-117.136,62.71,63,20,3.44,CA,2022-09-28 03:25:04
259,Kodiak,57.79,-152.4072,51.31,87,100,17.27,US,2022-09-28 03:27:43
260,Pilani,28.3684,75.6041,83.84,45,37,8.79,IN,2022-09-28 03:27:43
261,Hirara,24.8,125.2833,87.66,74,40,10.36,JP,2022-09-28 03:27:44
262,Dunmore Town,25.5,-76.65,83.71,79,100,20.65,BS,2022-09-28 03:27:44
263,Springbok,-29.6643,17.8865,49.95,37,11,2.93,ZA,2022-09-28 03:27:44
264,Kinkala,-4.3614,14.7644,72.23,77,99,3.85,CG,2022-09-28 03:27:44
265,Nha Trang,12.25,109.1833,87.8,59,100,3.51,VN,2022-09-28 03:24:34
266,Fuyu,45.1833,124.8167,70.7,46,15,10.04,CN,2022-09-28 03:27:45
267,Gillette,44.2911,-105.5022,63.95,40,0,14.97,US,2022-09-28 03:27:45
268,Coihaique,-45.5752,-72.0662,41.61,81,0,2.3,CL,2022-09-28 03:27:45
269,Bintulu,3.1667,113.0333,90.01,70,20,4.61,MY,2022-09-28 03:27:46
270,Labuhan,-6.8844,112.2051,87.51,52,24,2.73,ID,2022-09-28 03:27:46
271,Adra,36.7496,-3.0206,63.37,42,0,4.85,ES,2022-09-28 03:27:46
272,Uglovka,58.2392,33.5108,39.74,97,56,4.09,RU,2022-09-28 03:27:46
273,Port-Gentil,-0.7193,8.7815,75.76,86,100,5.01,GA,2022-09-28 03:27:47
274,Anori,-3.7728,-61.6442,80.4,62,40,2.89,BR,2022-09-28 03:27:48
275,Ambulu,-8.345,113.6058,85.5,58,23,6.35,ID,2022-09-28 03:28:48
276,Amambai,-23.1042,-55.2258,61.88,98,100,11.39,BR,2022-09-28 03:28:49
277,Neiafu,-18.65,-173.9833,83.08,83,40,10.36,TO,2022-09-28 03:28:49
278,Bilma,18.6853,12.9164,86.95,14,36,5.73,NE,2022-09-28 03:28:49
279,Port Antonio,18.18,-76.4612,80.51,86,99,6.71,JM,2022-09-28 03:28:49
280,Zhengjiatun,43.5064,123.5064,75.78,51,1,15.26,CN,2022-09-28 03:28:50
281,Aquiraz,-3.9014,-38.3911,80.69,79,5,14.58,BR,2022-09-28 03:28:50
282,Mahebourg,-20.4081,57.7,71.89,68,75,11.5,MU,2022-09-28 03:28:50
283,Lagoa,39.05,-27.9833,69.4,74,72,20.56,PT,2022-09-28 03:28:51
284,Cayenne,4.9333,-52.3333,75.24,94,20,0.0,GF,2022-09-28 03:28:51
285,Pestovo,58.5938,35.8024,44.58,97,100,6.69,RU,2022-09-28 03:28:51
286,Newport,51.5877,-2.9984,52.77,85,73,7.2,GB,2022-09-28 03:28:52
287,Kalmunai,7.4167,81.8167,82.49,72,100,4.54,LK,2022-09-28 03:28:52
288,Lamu,-2.2717,40.902,75.42,80,17,13.71,KE,2022-09-28 03:28:52
289,Kisesa,-3.0833,34.15,64.27,63,100,5.39,TZ,2022-09-28 03:28:53
290,Alberton,46.8168,-64.0654,57.11,90,5,6.51,CA,2022-09-28 03:28:53
291,Lompoc,34.6391,-120.4579,61.84,91,0,5.75,US,2022-09-28 03:28:53
292,Ushtobe,45.2514,77.9838,63.75,29,100,8.77,KZ,2022-09-28 03:28:53
293,Jalu,29.0331,21.5482,81.86,30,0,8.16,LY,2022-09-28 03:28:54
294,Bandar-E Lengeh,26.5579,54.8807,86.11,79,20,6.91,IR,2022-09-28 03:28:54
295,Sioux Lookout,50.1001,-91.917,30.27,100,20,2.3,CA,2022-09-28 03:28:54
296,Darnah,32.767,22.6367,79.59,51,12,4.12,LY,2022-09-28 03:28:55
297,Sechura,-5.5569,-80.8222,62.28,81,57,12.88,PE,2022-09-28 03:28:55
298,Airai,-8.9266,125.4092,76.57,54,100,1.81,TL,2022-09-28 03:28:55
299,Denpasar,-8.65,115.2167,82.06,78,40,6.91,ID,2022-09-28 03:28:56
300,Las Cruces,32.3123,-106.7783,76.15,35,0,3.44,US,2022-09-28 03:24:54
301,Halifax,44.6453,-63.5724,62.49,99,99,9.22,CA,2022-09-28 03:25:30
